Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
10,104.5187377,107.3265051,101.8860179,91.45449315,102.4342887,96.57976599,69.14499993,105.504296,103.1893621,102.589207,112.1971698,104.7900483,108.9233502,99.2220245,98.15308477,96.65457894,112.3979967
11,104.1079433,106.6604591,101.7145618,92.23135741,102.2129897,96.89069636,71.94999993,105.0039054,102.8994201,102.3538245,111.0883362,104.3545894,108.1121365,99.29274955,98.32098615,96.95870813,111.2709061
12,103.697149,105.9944132,101.5431056,93.00822167,101.9916907,97.20162672,74.75499994,104.5035149,102.6094781,102.1184421,109.9795026,103.9191305,107.3009229,99.36347459,98.48888754,97.26283731,110.1438155
13,103.2863547,105.3283673,101.3716494,93.78508593,101.7703918,97.51255709,77.55999995,104.0031243,102.319536,101.8830596,108.870669,103.4836715,106.4897092,99.43419964,98.65678892,97.5669665,109.0167249
14,102.8755603,104.6623214,101.2001932,94.56195019,101.5490928,97.82348745,80.36499995,103.5027338,102.029594,101.6476772,107.7618354,103.0482126,105.6784956,99.50492468,98.82469031,97.87109569,107.8896343
15,102.464766,103.9962755,101.0287371,95.33881445,101.3277938,98.13441781,83.16999996,103.0023433,101.739652,101.4122947,106.6530017,102.6127536,104.8672819,99.57564973,98.99259169,98.17522488,106.7625437
16,102.0539717,103.3302296,100.8572809,96.1156787,101.1064949,98.44534818,85.97499997,102.5019527,101.44971,101.1769123,105.5441681,102.1772947,104.0560683,99.64637477,99.16049308,98.47935406,105.6354531
17,101.6431773,102.6641837,100.6858247,96.89254296,100.8851959,98.75627854,88.77999997,102.0015622,101.159768,100.9415298,104.4353345,101.7418358,103.2448546,99.71709982,99.32839446,98.78348325,104.5083625
18,101.232383,101.9981377,100.5143685,97.66940722,100.6638969,99.06720891,91.58499998,101.5011716,100.869826,100.7061474,103.3265009,101.3063768,102.433641,99.78782486,99.49629585,99.08761244,103.3812718
19,100.8215887,101.3320918,100.3429124,98.44627148,100.4425979,99.37813927,94.38999999,101.0007811,100.579884,100.4707649,102.2176672,100.8709179,101.6224273,99.85854991,99.66419723,99.39174163,102.2541812
20,100.4107943,100.6660459,100.1714562,99.22313574,100.221299,99.68906964,97.19499999,100.5003905,100.289942,100.2353825,101.1088336,100.4354589,100.8112137,99.92927495,99.83209862,99.69587081,101.1270906
21,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
