,March_1,March_2,April,May,Week46,Week47 ,Week48,Week49,Week50,Week51,Week52,Week53
392,0,0.036778978,0.036778978,0,0,0,0,0,0,0,0,0
393,0,0.563966439,0.563966439,0,0,0,0,0,0,0,0,0
394,0,0.749475455,0.749475455,0,0,0,0,0,0,0,0,0
395,0,0.715639459,0.692234594,0,0,0,0,0,0,0,0,0
396,0,0.602486959,0.106885582,0,0,0,0,0,0,0,0,0
397,0,0.326728237,0.326728237,0,0,0,0,0,0,0,0,0
398,0,0.50520126,0.50520126,0,0,0,0,0,0,0,0,0
399,0,0.7385519,0.7385519,0,0,0,0,0,0,0,0,0
400,0,0.349888101,0.34939854,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0
402,0,0.563329,0.560806825,0,0,0,0,0,0,0,0,0
403,0.201682666,0.374057186,0.365777337,0.174290428,0,0,0.13577935,0.13577935,0.13577935,0,0,0.13577935
404,0,0,0,0,0,0,0,0,0,0,0,0
405,0.627154766,0.700747197,0.661970388,0.654810739,0.624647878,0.624647878,0.624647878,0.624647878,0.624647878,0.624647878,0.624647878,0.624647878
406,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0,0,0,0
410,0,0.2160063,0.2160063,0,0,0,0,0,0,0,0,0
411,0,0.109535995,0.040219675,0.014837995,0,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0,0,0,0,0,0
415,0.714847865,0.8350095,0.8350095,0.8350095,0.482303255,0.482303255,0.482303255,0.482303255,0.482303255,0.482303255,0.482303255,0.482303255
416,0.598072995,0.806424599,0.635027754,0.598072995,0,0,0.598072995,0.598072995,0.598072995,0,0,0.598072995
417,0,0,0,0,0,0,0,0,0,0,0,0
418,0,0.518938992,0.518938992,0,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0,0,0,0
