"","Week","Piemonte","Aosta","Lombardia","Trentino","Veneto","Friuli","Liguria","Emilia","Toscana","Umbria","Marche","Lazio","Abruzzo","Molise","Campania","Puglia","Basilicata","Calabria","Sicilia","Sardegna"
"15",15,-0.639872857142857,-0.621667142857143,-0.672835714285714,-0.615387142857143,-0.629801428571429,-0.620328571428571,-0.624911428571429,-0.623032857142857,-0.637482857142857,-0.612015714285714,-0.655795714285714,-0.656675714285714,-0.642764285714286,-0.592952857142857,-0.661161428571429,-0.615697142857143,-0.590012857142857,-0.614507142857143,-0.629511428571429,-0.594868571428571
"16",16,-0.649218571428571,-0.615444285714286,-0.674508571428571,-0.59587,-0.625257142857143,-0.619261428571429,-0.629338571428571,-0.630155714285714,-0.645868571428571,-0.620114285714286,-0.66511,-0.668655714285714,-0.65531,-0.598988571428571,-0.675251428571429,-0.622344285714286,-0.586652857142857,-0.622651428571429,-0.63692,-0.621367142857143
"17",17,-0.622402857142857,-0.580455714285714,-0.637608571428571,-0.521297142857143,-0.569991428571429,-0.564917142857143,-0.59226,-0.59345,-0.616408571428571,-0.596492857142857,-0.636934285714286,-0.644725714285714,-0.632407142857143,-0.581944285714286,-0.649387142857143,-0.605315714285714,-0.57021,-0.601941428571429,-0.610914285714286,-0.603897142857143
"18",18,-0.608671428571429,-0.575442857142857,-0.629787142857143,-0.48064,-0.52044,-0.505407142857143,-0.541721428571429,-0.579505714285714,-0.566382857142857,-0.578448571428571,-0.615664285714286,-0.617881428571429,-0.581131428571429,-0.544035714285714,-0.610651428571429,-0.55545,-0.532425714285714,-0.558898571428571,-0.578237142857143,-0.572191428571429
"19",19,-0.371872857142857,-0.342068571428571,-0.388292857142857,-0.284578571428571,-0.304788571428571,-0.300214285714286,-0.355084285714286,-0.31897,-0.346948571428571,-0.336328571428571,-0.352855714285714,-0.413558571428571,-0.3519,-0.342312857142857,-0.387477142857143,-0.339722857142857,-0.346634285714286,-0.344162857142857,-0.348057142857143,-0.349051428571429
"20",20,-0.369951428571429,-0.306928571428571,-0.38001,-0.249764285714286,-0.290872857142857,-0.310151428571429,-0.345545714285714,-0.290008571428571,-0.327487142857143,-0.31229,-0.308008571428571,-0.379744285714286,-0.308745714285714,-0.316087142857143,-0.337702857142857,-0.289792857142857,-0.295137142857143,-0.29865,-0.302384285714286,-0.296628571428571
"21",21,-0.209547142857143,-0.177341428571429,-0.226924285714286,-0.1463,-0.154588571428571,-0.156965714285714,-0.20463,-0.171885714285714,-0.200172857142857,-0.201888571428571,-0.202141428571429,-0.246714285714286,-0.196995714285714,-0.223867142857143,-0.21245,-0.162382857142857,-0.220251428571429,-0.194424285714286,-0.178221428571429,-0.185111428571429
"22",22,-0.162497142857143,-0.139995714285714,-0.177604285714286,-0.117125714285714,-0.114177142857143,-0.124302857142857,-0.152974285714286,-0.125888571428571,-0.147857142857143,-0.16243,-0.157954285714286,-0.212617142857143,-0.166622857142857,-0.206314285714286,-0.164662857142857,-0.150151428571429,-0.200072857142857,-0.153928571428571,-0.134,-0.110937142857143
"23",23,-0.162624285714286,-0.121218571428571,-0.191208571428571,-0.125434285714286,-0.116165714285714,-0.13095,-0.150921428571429,-0.109245714285714,-0.126732857142857,-0.10953,-0.0887671428571429,-0.162884285714286,-0.100877142857143,-0.12748,-0.106317142857143,-0.0763685714285714,-0.14292,-0.122474285714286,-0.0971857142857143,-0.108394285714286
"24",24,-0.13778,-0.0894385714285714,-0.13927,-0.0750671428571429,-0.0753257142857143,-0.0861014285714286,-0.0959342857142857,-0.0804957142857143,-0.110815714285714,-0.105912857142857,-0.0962114285714286,-0.14284,-0.0801,-0.0569614285714286,-0.0677371428571429,-0.0278171428571429,-0.0745685714285714,-0.0626871428571429,-0.0504214285714286,-0.0872057142857143
